pest_key,name,latin_name,also_called,kind,affects_categories,severity,description,signs,consequence,look_alikes,monitoring,prevention,organic_controls,chemical_controls,beneficials,pollinator_risk,treatments
cabbage_worm,Imported cabbageworm,Pieris rapae,Cabbage white caterpillar,pest,Cabbage;Broccoli;Cauliflower;Brussels sprouts;Kale;Asian greens;Chinese cabbage;Radish;Turnip,serious,"The velvety green caterpillar of the small white butterfly you see flitting over the brassica bed all summer. It feeds slowly and constantly and hides along the midrib, where it is exactly the colour of the leaf.","Irregular holes chewed in leaves, then into the head. Dark green pellets of frass caught in the leaf axils and in the broccoli head. White butterflies over the bed at midday.","Cosmetic on a big cabbage, ruinous on broccoli and cauliflower where the frass and the caterpillars end up inside the head and cannot be washed out.",Cabbage loopers arch their backs as they walk; these do not. Diamondback moth larvae are much smaller and wriggle violently and drop on a thread when touched.,"Check the growing point and the undersides of the top leaves twice a week from the first white butterfly. Bright yellow eggs, laid singly and standing on end, are the earliest sign.","Insect netting or floating row cover from planting: brassicas need no pollinator, so it can stay on all season and this is close to complete control. Do not plant new brassicas immediately beside a finishing crop.","Row cover. Hand-picking, which is easy once you learn to look along the midrib. Bacillus thuringiensis kurstaki sprayed on the growing point every week or so while butterflies are flying; it is specific to caterpillars and harms nothing else.",Bt kurstaki is the right answer and is what extension programmes recommend first. Spinosad also works and goes on at dusk. Pyrethrins and permethrin are registered but take the parasitic wasps with them.,"Cotesia parasitic wasps, paper wasps -- which hunt caterpillars all day and are worth tolerating near a brassica bed -- and ground beetles.",0,Netting from planting; hand-pick along the midrib; Bt kurstaki weekly while the whites are flying.
cabbage_looper,Cabbage looper,Trichoplusia ni,,pest,Cabbage;Broccoli;Cauliflower;Brussels sprouts;Kale;Lettuce;Spinach;Asian greens;Chinese cabbage;Tomato,manageable,"A pale green caterpillar with a thin white stripe down each side that arches its back into a loop as it walks, having no legs in the middle. It has a much wider host range than the cabbageworm and turns up on lettuce and tomato as well.","Large ragged holes between the veins, often leaving the leaf skeletal. Loose green frass. Caterpillars that loop when they move.","Defoliation and contaminated heads. A late-season problem more often than an early one, and rarely fatal to the plant.",Imported cabbageworm is velvety and does not loop. Beet armyworm is greyer and has a dark spot behind the head.,Same walk as for cabbageworm: growing point and top leaf undersides twice a week. Pale green dome-shaped eggs laid singly.,Row cover on brassicas. Clear crop residue after harvest. Do not overlap successive brassica plantings in adjacent beds.,Row cover and hand-picking. Bacillus thuringiensis kurstaki while the larvae are small; loopers become notably harder to kill once large.,"Bt kurstaki first, spinosad second. Loopers have developed resistance to several older synthetics, which is another reason to start with Bt and rotate.","Trichogramma egg wasps, Copidosoma parasitoids, paper wasps, and a naturally occurring nuclear polyhedrosis virus that collapses heavy populations on its own.",0,Netting; hand-pick; Bt kurstaki while the caterpillars are small.
diamondback_moth,Diamondback moth,Plutella xylostella,,pest,Cabbage;Broccoli;Cauliflower;Brussels sprouts;Kale;Asian greens;Chinese cabbage;Radish;Turnip,manageable,"The smallest of the three brassica caterpillars, under a centimetre, pale green and tapering at both ends. Disturb one and it thrashes wildly and drops on a silk thread, which is the surest way to identify it.","Small windowpane patches where the larva has eaten one leaf surface and left the other, later becoming shot holes. Fine webbing on the growing point.","Minor on a mature plant, serious on transplants and on the growing point of broccoli. It matters mostly because it is the brassica pest most prone to insecticide resistance.",The windowpane feeding is distinctive; both other brassica caterpillars chew right through.,Look at the growing point of young brassicas weekly. The dropping-on-a-thread behaviour identifies it instantly.,"Row cover. Rotate brassica beds. Avoid repeated sprays of the same chemistry, which is precisely how resistant populations arise in this species.","Row cover and Bacillus thuringiensis. Where Bt resistance is suspected locally, spinosad is the alternative -- and alternating between the two is the point, not choosing one.","Bt kurstaki or aizawai, and spinosad. This species has developed resistance to nearly every insecticide class used against it somewhere in the world; rotate actives and never spray on a schedule instead of on a count.","Diadegma and Microplitis parasitic wasps, which do a great deal of unnoticed work and are the first thing a broad-spectrum spray removes.",0,"Row cover; Bt and spinosad, alternated rather than repeated."
cutworm,Cutworms,Agrotis; Peridroma; Nephelodes spp.,,pest,,serious,"Fat, greasy-looking grey or brown caterpillars that curl into a C when touched. They live in the top few centimetres of soil, feed at night, and chew through the stems of young plants at ground level.","A transplant lying cut clean off at soil level, still green. Gaps in a newly emerged row. Dig a few centimetres down within a hand's width of the stump and the caterpillar is usually there.","Whole transplants lost, one a night, until the caterpillar is found. In a bad spring on ground that was in grass last year, a third of a bed.",A rabbit clips a stem at an angle and leaves the top; a cutworm severs it flat and leaves the top lying. Damping-off collapses a seedling without cutting it.,Walk newly transplanted beds every morning for the first fortnight and count the losses. Search the soil beside any cut stem before nightfall.,"A collar around each transplant stem -- a toilet roll tube, a tin can with the ends out, or a strip of card pushed 3 cm into the soil -- is the single most reliable control and Carl records it on the planting. Cultivate a new bed two weeks before planting, especially ground that was in grass or weeds. Keep a clean, weed-free border.","Collars. Hand-searching at dusk with a torch. Bacillus thuringiensis kurstaki drenched on the soil surface at dusk. Diatomaceous earth as a barrier ring, renewed after rain.","Baits containing spinosad or carbaryl are the usual garden option and are applied to the soil surface at dusk, when the larvae come up. Foliar sprays are largely wasted on a pest that is underground by dawn.","Ground beetles, birds, parasitic wasps and tachinid flies.",0,A collar on every transplant; search at dusk; Bt or a spinosad bait on the soil surface in the evening.
armyworm,Armyworms,Spodoptera spp.,Beet armyworm; fall armyworm,pest,Sweet corn;Tomato;Pepper;Lettuce;Spinach;Bean;Cabbage;Onion;Asian greens,serious,"Caterpillars that arrive in numbers rather than singly, marching through a planting and stripping it. Fall armyworm has a pale inverted Y on the head and four dots in a square on the second-to-last segment; beet armyworm has a dark spot above the second true leg.","Ragged skeletonised leaves and a great deal of frass, appearing across a whole bed within a few days. On sweet corn, chewed whorls and damaged ear tips.",A planting can be stripped in under a week. Sweet corn ears are directly damaged and unmarketable.,Corn earworm is usually alone in the ear tip; armyworms are many and are in the whorl and the foliage.,Check the corn whorl and the youngest leaves of everything else twice a week from midsummer. Egg masses come in furry grey clusters on leaf undersides -- crush those and the outbreak does not happen.,"Plant early where the species is a late-season migrant. Keep the bed weed-free, since grassy weeds host the early generations. Destroy egg masses on sight.","Bacillus thuringiensis while larvae are small and still on the leaf surface, which is a narrow window. Hand-pick egg masses and young clusters. Spinosad on a heavier attack, at dusk.","Spinosad and Bt aizawai are the effective garden actives; older synthetics are widely resisted by fall armyworm. Nothing reaches a larva already inside a corn ear, so timing to the whorl stage decides the outcome.","Trichogramma egg wasps, tachinid flies, ground beetles, birds.",1,Crush egg masses; Bt or spinosad while the larvae are small and in the whorl; nothing works once they are in the ear.
corn_earworm,Corn earworm,Helicoverpa zea,Tomato fruitworm; podworm,pest,Sweet corn;Tomato;Pepper;Bean;Southern pea;Okra,serious,"One species with three names, because it eats the ear of corn, the fruit of a tomato and the pod of a bean. Eggs are laid on fresh corn silk; the larva follows the silk down and feeds in the ear tip, and by then it is beyond reach.","Chewed, frass-packed corn ear tips. Round holes in green tomatoes with frass at the entry. Larvae varying from pale green to brown with fine stripes.",Almost every unprotected sweet corn ear carries one in the south. In the ear tip it is a nuisance you cut off; in a tomato or a pepper it ruins the fruit and the rot follows it in.,"In tomatoes the entry hole resembles stink bug feeding, which leaves no frass and no tunnel.","Watch for fresh silk: that is the moment eggs are laid and the only moment anything can be done. On tomatoes, check green fruit weekly from first set.",Plant early so silking is over before the peak flight. Choose sweet corn varieties with tight husk tips. Cultivate after harvest to break up the pupae in the soil.,"A few drops of vegetable oil, sometimes with Bacillus thuringiensis in it, applied to the silk channel a few days after silking, smothers the larva before it enters. A clothes peg or elastic band on the husk tip is a cruder version of the same idea. Bt or spinosad on tomatoes catches the larvae before they bore in.","Spinosad and Bt are the garden actives, and both are applied to fresh silk or to green fruit -- nothing reaches a larva that is already inside. Bt is harmless to bees; spinosad is acutely toxic to them while it is wet and harmless once dry, so it goes on at dusk and never on open tomato or bean flowers. Repeated applications during silking are what commercial growers do and what a garden usually will not.","Trichogramma egg wasps, minute pirate bugs on the silk, lacewings.",1,Oil or Bt on fresh corn silk; Bt or spinosad on green tomatoes; accept the ear tip and cut it off.
colorado_potato_beetle,Colorado potato beetle,Leptinotarsa decemlineata,,pest,Potato;Eggplant;Tomato;Pepper,serious,"A round yellow beetle with ten black stripes and a brick-red humpbacked larva with two rows of black spots. Both stages eat foliage, and the larvae do most of the damage. It is famously quick to develop insecticide resistance.",Yellow-orange egg clusters standing on end under the leaves. Foliage eaten to the stems from the top down. Both beetles and larvae plainly visible.,"Complete defoliation of potatoes and eggplant, and on eggplant it will kill a young plant. Potatoes defoliated before tubers bulk yield almost nothing.",The false potato beetle has one white stripe among the black; the striping pattern is the tell. The larvae are unmistakable.,"Check the undersides of potato and eggplant leaves weekly from emergence for the orange egg clusters, which is the stage worth acting on.",Rotate potatoes and eggplant as far from last year's bed as the garden allows -- the adults walk out of the soil and a long walk stops many. Deep straw mulch makes that walk much harder. Plant early varieties and get them out.,"Hand-picking adults and crushing egg clusters, which in a garden is genuinely sufficient. Straw mulch. Bacillus thuringiensis tenebrionis, which is the strain specific to beetles and not the kurstaki one sold for caterpillars. Spinosad on young larvae.",Bt tenebrionis and spinosad are the effective garden actives. This species has developed resistance to more than fifty insecticides; never spray the same active twice in a season.,"Stink bugs of the genus Podisus, ground beetles, ladybirds eating the eggs.",1,Crush the orange egg clusters and hand-pick; straw mulch; Bt tenebrionis or spinosad on small larvae.
mexican_bean_beetle,Mexican bean beetle,Epilachna varivestis,,pest,Bean;Southern pea,serious,"A ladybird that eats plants rather than aphids: coppery-orange with sixteen black spots, with spiny yellow larvae. Both stages feed on the undersides of bean leaves.",Leaves skeletonised from below into a fine lace while the upper surface stays intact. Yellow egg clusters and spiny yellow grubs underneath.,"Severe defoliation just as pods fill, which cuts the crop sharply. Successive generations get worse through the season.","Looks like a large ladybird, which is exactly the problem: check the colour, which is coppery rather than red, and check what it is doing.",Look under bean leaves weekly from first true leaves. The yellow egg clusters are the stage to act on.,Plant early and harvest an early crop before numbers build. Pull and destroy the vines as soon as picking is over rather than leaving them standing. Row cover until flowering.,"Hand-picking adults, larvae and egg clusters. Insecticidal soap or neem on the young larvae, on the undersides. Pediobius foveolatus, a parasitic wasp, is sold for this pest and works well where it is available.","Pyrethrins and neem are the usual garden options and both are far more effective on larvae than on adults. Beans are visited by bees, so evening applications only.","Pediobius foveolatus, spined soldier bugs, lady beetles taking the eggs.",1,"Hand-pick adults, larvae and egg clusters; soap or neem on the undersides; pull the vines as soon as picking ends."
bean_leaf_beetle,Bean leaf beetle,Cerotoma trifurcata,,pest,Bean;Southern pea;Pea,manageable,"A small beetle, red to yellow-tan, usually with four dark spots and always with a small black triangle just behind the head -- the triangle is the reliable mark, since the spots are often absent.","Round holes chewed between the veins of bean leaves. Later in the season, scarring and pitting on the pods themselves.","Leaf feeding is cosmetic on an established plant but can kill seedlings. Pod scarring lets in the fungi that cause pod rot, which is the real cost.",Cucumber beetle damage is similar; the black triangle behind the head distinguishes this one.,Check seedlings daily in the first fortnight and pods weekly once they set.,Delay planting past the first spring generation. Row cover on seedlings. Clear crop debris where the adults overwinter.,Row cover on seedlings; hand-picking; neem on a light population. An established planting rarely needs anything at all.,"Pyrethrins and permethrin are registered. Treatment is usually only warranted on seedlings or when pods are being scarred; evening applications, as beans are bee-visited.","Ground beetles, spiders, and a tachinid parasitoid of the adults.",1,Row cover the seedlings and otherwise tolerate it; treat only if pods are being scarred.
japanese_beetle,Japanese beetle,Popillia japonica,,pest,Bean;Okra;Basil;Corn;Sweet corn;Eggplant;Tomato;Pepper;Strawberry,manageable,A metallic green and copper beetle about a centimetre long with white tufts along its sides. The adults feed in groups in full sun; the grubs live in lawn and pasture soil and eat grass roots.,"Leaves skeletonised between the veins into a lace, worst on the sunny top of the plant. Beetles clustered several to a leaf, since feeding damage releases a scent that draws more.","Ugly and sometimes severe defoliation, but established vegetables usually crop anyway. Basil and young beans suffer most.",Several native chafers are similar; the white side tufts are diagnostic.,"Walk the garden in the warmest part of a sunny day, when they are most active and most visible.","Do not hang pheromone traps in the garden: they attract far more beetles than they catch and reliably make the problem worse -- if a neighbour wants to hang one, downwind and a long way off. Keep plants watered so they grow through the damage.","Knock them into a jar of soapy water in the cool of early morning, when they are slow and drop rather than fly. Row cover over a small, badly hit crop such as basil. Neem is a mild deterrent rather than a kill.","Carbaryl and pyrethroids are registered and are effective, and both are highly toxic to bees on crops that are flowering. For a garden the hand-picking is usually the better trade.","Milky spore and parasitic nematodes act on the grubs in turf, but only over years and only over a large area; tachinid flies attack the adults.",1,Knock them into soapy water at dawn; row cover a favourite crop; never hang a pheromone trap in your own garden.
stink_bug,Stink bugs,Halyomorpha halys; Chinavia hilaris; Euschistus servus,Brown marmorated stink bug; green stink bug,pest,Tomato;Pepper;Bean;Southern pea;Okra;Sweet corn;Eggplant,manageable,"Shield-shaped true bugs that push a needle-like mouthpart into fruit and pods and drink. The damage is done in the moment of feeding and does not spread, but it does not heal either.","Cloudy white or yellow spots just under the tomato skin, corky and hard when cut. Dimpled, deformed peppers. Pods that fail to fill. A strong smell when the bug is handled.",Fruit is edible but marked and often mealy where fed on. Feeding wounds are also where fruit rots begin.,"Squash bugs are narrower and are on cucurbits. Several native stink bugs are predators of caterpillars and are worth leaving; a predatory species has a thickened, spined shoulder and is usually found on a caterpillar rather than a fruit.",Check fruit and the tops of plants in the morning. Populations move in from field edges and weedy margins in late summer.,Keep the garden edges mown and free of the weedy hosts they build up on. Row cover on a small planting. A trap crop of sunflower or sorghum draws them off the tomatoes.,"Hand-picking into soapy water, which is easiest early in the morning. Kaolin clay deters feeding. Removing weedy margins in late summer takes the reservoir away.",Pyrethrins and permethrin are registered and give short-lived control at best -- these are strong fliers and the bed is recolonised within days. Hand-picking and margins are the better use of the effort. Any spray on a flowering crop goes on in the evening.,"Samurai wasp and other egg parasitoids, assassin bugs, spiders, birds.",1,Hand-pick in the morning; kaolin clay; mow the weedy margins; expect sprays to be short-lived.
leaf_footed_bug,Leaf-footed bugs,Leptoglossus phyllopus,,pest,Tomato;Southern pea;Pepper;Bean;Okra;Watermelon,manageable,"Large brown true bugs, 20 mm or so, with a white band across the back and flattened leaf-like flares on the hind legs. The nymphs are bright orange and cluster together, which is when they are easiest to deal with.","Sunken, discoloured spots on tomatoes that stay hard. Shrivelled seeds in southern pea pods. Clusters of orange nymphs on a fruit truss.","Marked and mealy fruit rather than lost plants, and badly shrivelled peas. Numbers build sharply through late summer and autumn.",Wheel bugs and assassin bugs are predators and look superficially similar; leaf-footed bugs are the ones with the flared hind legs.,Look for the orange nymph clusters from midsummer -- they are conspicuous and a whole cluster can be dealt with in one go.,"Clear weedy hosts, especially thistle and sunflower, from the garden edges. Remove overwintering shelter such as woodpiles near the beds. Row cover on a small planting.",Hand-pick the nymph clusters into soapy water. A hand vacuum works well on adults. Insecticidal soap kills nymphs and does very little to adults.,Pyrethrins as a last resort on the nymph stage; adults are hard to kill and quickly replaced. Evening applications on flowering crops.,"Tachinid flies, egg parasitoids, assassin bugs, birds.",1,Catch the orange nymph clusters early; hand-pick or vacuum adults; clear the weedy margins.
harlequin_bug,Harlequin bug,Murgantia histrionica,,pest,Cabbage;Broccoli;Cauliflower;Brussels sprouts;Kale;Radish;Turnip;Asian greens;Chinese cabbage,serious,A boldly marked black-and-orange shield bug that feeds almost exclusively on brassicas. The barrel-shaped eggs are laid in neat double rows and look like tiny white kegs with black hoops.,Pale blotches and white stippling on brassica leaves that turn brown and wilt. Whole plants collapsing in warm weather. The distinctive black-and-orange bugs are impossible to miss.,Young brassica plants are killed. An autumn planting can be lost entirely where the population has built up over summer.,Nothing else looks like it on a brassica.,"Check brassicas twice a week from planting, looking for the barrel-shaped egg rows on leaf undersides.","Row cover on brassicas from planting. Remove all brassica residue and wild mustard around the garden, which is where the population overwinters and builds. A trap crop of mustard planted early draws them off the main crop.","Hand-picking the adults and crushing the egg rows, done consistently, is effective. Insecticidal soap on the nymphs. A mustard trap crop, destroyed once colonised.",Pyrethrins and permethrin are registered and work best on nymphs. Adults are hard to hit and often simply move.,"Egg parasitoids, though rarely enough on their own.",0,Row cover; crush the barrel-shaped egg rows; a mustard trap crop; clear wild mustard and old brassica stumps.
leafminer,Leafminers,Liriomyza spp.,,pest,Spinach;Chard;Beet;Tomato;Pepper;Bean;Lettuce;Basil;Onion,cosmetic,"The larvae of small flies that live between the two surfaces of a leaf, eating a widening tunnel as they go. Nothing on the outside of the leaf ever touches them, which is why sprays disappoint.","Pale winding tunnels or irregular blotches inside the leaf, wider at one end. Rows of white puncture dots along a leaf where the female fed.","Cosmetic on tomato and bean; on spinach, chard and beet, where the leaf is the crop, a mined leaf is not worth eating.",The tunnels are unmistakable. Do not confuse the feeding punctures with thrips stippling.,Check leafy crops weekly. The first mines appear on older leaves; act before it reaches the crop leaves.,"Floating row cover over spinach, chard and beet from sowing, which excludes the adult flies entirely and is the only reliable control. Remove and bag mined leaves as they appear. Clear crop residue.",Pick off and bin mined leaves -- squashing the larva in the mine between finger and thumb also works. Row cover. Spinosad has some translaminar movement into the leaf and is the only foliar spray worth trying.,"Most contact insecticides do nothing because the larva is inside the leaf, and they reliably kill the parasitic wasps that are the main natural control, making the next generation worse. Spinosad is the exception, and it is acutely toxic to bees while wet, so it goes on at dusk and not on anything in flower. This is a pest where spraying usually makes things worse.","Diglyphus and Dacnusa parasitic wasps, which do most of the real control in an unsprayed garden.",1,Row cover on leafy crops; pick and bin mined leaves; do not spray a contact insecticide -- it removes the wasps and not the miners.
slug_snail,Slugs and snails,Gastropoda,,pest,,serious,"Molluscs that feed at night and in wet weather and shelter by day under boards, pots, mulch and leaf litter. They rasp holes in leaves and can shear a seedling off entirely.","Irregular holes with smooth, rounded edges, often in the middle of a leaf. Silvery dried slime trails on leaves and soil in the morning. Seedlings gone overnight with nothing left.","Whole beds of seedlings lost in a wet spring, and hollowed strawberries and lettuce hearts later. The worst damage always happens in the week nobody was looking.",Earwig damage is similar but has no slime. Flea beetle holes are small and round; slug holes are large and irregular.,"Go out an hour after dark with a torch, which is the only time you will see the population honestly. Lay a board on damp soil and turn it each morning.","Water in the morning rather than the evening so the surface is dry at nightfall. Keep mulch a hand's width back from the stems of vulnerable plants. Clear boards, pots and debris from around the beds. A copper strip around a raised bed or a pot works while it stays clean.","Hand-collecting after dark, which is the most effective control there is. Board traps. Iron phosphate baits, which are approved for organic growing and are far safer around pets and wildlife than the older alternative. Beer traps catch some, and also attract more than they catch, so site them away from the crop.",Iron phosphate is the bait to use. Metaldehyde baits are effective and are also acutely poisonous to dogs and cats -- do not use them where an animal or a child can reach the pellets.,"Ground beetles, toads, birds, and slow-worms where they occur. A garden that keeps its ground beetles has far fewer slugs.",0,Collect after dark with a torch; board traps; iron phosphate bait; water in the morning and keep mulch off the stems.
earwig,Earwigs,Forficula auricularia,,pest,Lettuce;Basil;Strawberry;Cabbage;Asian greens;Corn;Sweet corn;Bean,cosmetic,"Brown insects with pincers at the tail, active at night and hiding in tight dark places by day. They eat aphids, mites and insect eggs as well as seedlings and soft fruit, so they are on both sides of the ledger.","Ragged holes in soft leaves and flower petals, no slime. Earwigs found inside a corn husk, a strawberry or a rolled leaf during the day.","Mostly cosmetic and often outweighed by the aphids they eat. Real damage is limited to seedlings, soft fruit and sweet corn silk.",Slug damage has slime; caterpillar damage comes with frass.,Roll a damp newspaper or lay a length of hose in the bed overnight and shake it out in the morning -- that is the population count and the trap in one.,"Clear damp debris, boards and dense mulch next to vulnerable seedlings. Decide first whether they are doing net harm: in a garden with aphids, often not.","Rolled newspaper or hose traps, emptied each morning. Oil-and-soy-sauce traps sunk to soil level. A ring of diatomaceous earth around seedlings, renewed after rain.",Baits containing spinosad are registered. Treatment is rarely justified: this is an animal worth tolerating unless it is actually eating the crop.,They are one themselves -- earwigs are significant predators of aphids and codling moth eggs.,0,Trap with rolled newspaper or a length of hose and empty it daily; clear damp debris beside seedlings; tolerate the rest.
root_maggot,Root maggots,Delia radicum; Delia antiqua,Cabbage maggot; onion maggot,pest,Cabbage;Broccoli;Cauliflower;Brussels sprouts;Radish;Turnip;Onion;Garlic;Asian greens,fatal,"Small white legless maggots, the larvae of flies that lay their eggs at the base of the stem in cool, moist spring weather. The maggots eat the roots and tunnel into the bulb or the taproot.","A plant that wilts in the sun and does not recover, with a stunted blue-green cast. Radishes and turnips tunnelled with brown scars. Onion bulbs rotting from the base with maggots inside. Lift a failing plant and the roots are gone.",The plant dies and nothing can be done for it once the maggots are in. In a cool wet spring a whole row of brassica transplants or onion sets can go.,Wireworm tunnels are narrow and clean; root maggot damage is a rotten mess. Clubroot swells the roots instead of eating them.,"Watch spring transplants closely in cool damp weather. Lift the first plant that wilts and look, rather than watering it more.","This is a prevention-only pest. Floating row cover from the day of planting, sealed at the soil, excludes the fly and is the whole answer. A collar of card or roofing felt flat on the soil around the stem stops egg-laying at the base. Rotate brassicas and onions well away from last year. Delay planting past the first spring flight where it is known.",Row cover and stem collars. Parasitic nematodes drenched into the soil at planting help. Destroy affected plants and their roots rather than leaving them to complete the generation.,"There is no effective rescue treatment available to a home garden once the maggots are in the root. Soil drenches sold for the purpose are largely ineffective at that point, which is why every extension recommendation here is about exclusion.",Ground beetles and rove beetles take the eggs and are worth protecting by not disturbing the soil surface unnecessarily.,0,Row cover from planting or a collar flat on the soil; rotate; there is no cure once the roots are eaten.
carrot_rust_fly,Carrot rust fly,Psila rosae,Carrot fly,pest,Carrot;Parsley;Cilantro;Dill;Parsnip;Celery,serious,"A small dark fly whose larvae tunnel through carrot roots leaving rusty-brown trails. The adults fly low over the ground and find the crop by smell, which is why bruised foliage attracts them.","Rusty brown tunnels just under the skin of a carrot, filled with crumbly frass. Foliage tinged red or bronze and stunted. Damage is usually worst at the end of a long season.",The roots are inedible where tunnelled and rot in storage. A late-lifted crop can be almost entirely spoiled.,"Wireworm holes are round, clean and go straight in; rust fly tunnels wander and are rusty.",Pull a test carrot every few weeks from late summer. There is no useful above-ground sign until the damage is done.,"Insect mesh over the bed from sowing, or a vertical barrier 60 cm high around it -- the flies fly low and will not go over. Sow after the first spring flight and lift before the autumn generation matures. Thin in the evening and remove the thinnings, because the smell of crushed foliage is what draws the fly. Rotate away from last year's carrot ground.","Mesh, barriers and timing. Parasitic nematodes drenched on the bed give partial control. Resistant varieties exist and are worth seeking out.",No effective home-garden rescue treatment: the larva is inside the root. Everything that works here is exclusion or timing.,Ground beetles and rove beetles take eggs and pupae.,0,Mesh or a low barrier from sowing; thin in the evening and take the thinnings away; time the sowing and lift promptly.
wireworm,Wireworms,Elateridae larvae,,pest,Potato;Carrot;Onion;Sweet corn;Bean;Lettuce;Radish;Turnip;Beet,serious,"The hard, shiny, orange-brown larvae of click beetles. They live in soil for two to five years and are far more numerous in ground that was recently in grass or pasture.","Neat round holes bored straight into potatoes, carrots and beetroot. Seedlings and sown seed that simply fail, with the larva found in the soil at the seed.","Roots and tubers holed and unstorable, and gaps in a sown row. The population takes years to fall, so a bed broken out of lawn is a problem for several seasons.","Millipedes are round and coil up; wireworms are flat-bodied, hard and stiff. Millipedes usually enlarge damage that something else began.",Bury a piece of potato or carrot on a stick every couple of metres a fortnight before planting and dig it up to count what has moved in. That is the only honest estimate.,"Do not plant potatoes and root crops in the first year or two after breaking sod. Cultivate repeatedly through a fallow season, which exposes larvae to birds and dries them out. Lift potatoes as soon as they are ready rather than leaving them in the ground.","Bait trapping before planting, then removal. Repeated shallow cultivation. Parasitic nematodes help in a small bed. Choosing what to grow -- lettuce and brassicas suffer far less than potatoes -- is the practical answer for a new bed.","Soil insecticides for wireworm are not available to home gardens in any useful form, and would not be worth it if they were. This is a rotation and timing problem.","Birds, ground beetles, and moles, which is the one good thing about a mole.",0,Bait-trap before planting; keep potatoes and roots out of newly broken sod; cultivate and lift promptly.
fire_ant,Fire ants,Solenopsis invicta,Red imported fire ant,pest,,manageable,Mound-building ants that sting painfully and defend the mound in numbers. They eat few plants directly but tend aphids and scale for their honeydew and drive off the predators that would otherwise control them.,"Loose crumbly mounds with no obvious entrance hole, appearing overnight after rain. Ants streaming up plant stems to aphid colonies. Stings on anyone weeding.","Chiefly a hazard to the gardener and a reason the aphids are not being eaten. Occasional direct damage to seedlings, okra buds and ripe fruit close to the ground.",Other mound-building ants are harmless; disturb a mound gently from a safe distance and fire ants boil out immediately and aggressively.,"Walk the beds after rain, when new mounds appear. Look for ant trails on any plant carrying aphids.",Nothing keeps them out of a garden in the areas they occupy. Keeping mounds out of the beds themselves is the achievable goal.,"Repeated drenching of a mound with several litres of boiling water kills a good proportion and harms nothing else, though it also kills roots where it runs. Spinosad-based fire ant baits are approved for organic growing and are the practical control. Bait around the beds and not in them.","Bait products carrying hydramethylnon, indoxacarb or spinosad are the effective option and work by being carried into the colony, so they are broadcast around the garden rather than mixed into the soil of a bed. Read the label for the distance to an edible crop, which differs by product.","Phorid decapitating flies, released regionally, reduce foraging over years rather than seasons.",0,Bait around the beds rather than in them; boiling water on an individual mound; expect to keep doing it.
damping_off,Damping off,Pythium; Rhizoctonia; Fusarium spp.,,disease,,fatal,"Soil-borne fungi and water moulds that rot seedlings at or just below the soil line. It is a disease of the propagation bench far more than of the garden, and of cold wet soil, poor airflow and reused trays.","Seed that never emerges. A seedling that topples with a thin, water-soaked, pinched stem at soil level while the top is still green. White fuzzy growth on the surface of the mix in bad cases.","The seedling dies and does not recover. A whole tray can go in two days, and it takes the sowing date with it -- which for a heat-loving crop can mean the season.","Cutworms sever a stem cleanly and leave the top lying beside it. Drying out wilts a seedling without the pinched, dark stem base.",Look at trays daily in the first fortnight. One toppled seedling is the warning; the tray is decided in the next two days.,"This is entirely a prevention problem. Use fresh sterile seed-starting mix, not garden soil and not last year opened bag. Wash and disinfect reused trays. Sow thinly. Bottom-water and let the surface dry between waterings. Keep air moving with a small fan. Do not sow into cold soil -- warm the mix to the seed temperature range the research card gives.","Remove affected seedlings and the mix around them at once. A thin layer of coarse vermiculite or sand on the surface keeps the collar dry. Chamomile tea and cinnamon are traditional and unreliable; airflow and drier surfaces are what actually work. Biological drenches based on Trichoderma or Bacillus subtilis are registered and help as a preventive, not a cure.","Fungicidal drenches are of very limited use once symptoms appear and are largely unavailable for home seed-starting. Seed treated with a fungicide by the supplier is the one chemical control that reliably matters, and it is bought rather than applied.",Trichoderma and Bacillus subtilis in commercial biological drenches and in good compost.,0,"Fresh sterile mix, clean trays, thin sowing, bottom watering and a fan. There is no cure -- everything here is prevention."
