category,type,plant_family,latin_name,lifecycle,is_tree,dtm_days_min,dtm_days_max,dtm_counted_from,spacing_in,seed_depth_in,germ_days_min,germ_days_max,germ_soil_temp_f_min,germ_soil_temp_f_max,sun,kc_ini,kc_mid,kc_end,stage_days_ini,stage_days_dev,stage_days_mid,stage_days_late,typical_start_method,weeks_before_transplant_to_start,hardening_days_default,heat_tolerant,confidence,source,notes
Pepper,Cayenne,Solanaceae,Capsicum annuum,annual,N,70,80,transplant,18,0.25,8,14,75,85,full,0.6,1.05,0.9,30,35,40,20,indoor,8,10,Y,generic,AgriLife Recommended Vegetable Cultivars for North Central Texas; FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Eggplant,Black Beauty,Solanaceae,Solanum melongena,annual,N,70,85,transplant,24,0.25,7,14,75,90,full,0.6,1.05,0.9,30,40,40,20,indoor,8,10,Y,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Squash (summer),Zucchini,Cucurbitaceae,Cucurbita pepo,annual,N,50,60,seed,30,1.0,5,10,70,95,full,0.5,0.95,0.75,20,30,25,15,direct,0,0,Y,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Squash vine borer host
Squash (summer),Yellow Crookneck,Cucurbitaceae,Cucurbita pepo,annual,N,50,60,seed,30,1.0,5,10,70,95,full,0.5,0.95,0.75,20,30,25,15,direct,0,0,Y,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Squash vine borer host
Squash (winter),Butternut,Cucurbitaceae,Cucurbita moschata,annual,N,90,110,seed,36,1.0,5,10,70,95,full,0.5,0.95,0.75,20,30,30,30,direct,0,0,Y,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Moschata types resist vine borer better
Cucumber,Slicing,Cucurbitaceae,Cucumis sativus,annual,N,55,65,seed,12,0.5,3,10,70,95,full,0.6,1.0,0.75,20,30,40,15,direct,0,0,Y,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Cucumber,Pickling,Cucurbitaceae,Cucumis sativus,annual,N,50,60,seed,12,0.5,3,10,70,95,full,0.6,1.0,0.75,20,30,40,15,direct,0,0,Y,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Bean,Bush snap,Fabaceae,Phaseolus vulgaris,annual,N,50,60,seed,4,1.0,7,10,70,85,full,0.5,1.05,0.9,20,30,30,10,direct,0,0,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Bean,Pole snap,Fabaceae,Phaseolus vulgaris,annual,N,60,70,seed,6,1.0,7,10,70,85,full,0.5,1.05,0.9,20,30,30,10,direct,0,0,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Needs trellis
Southern pea,Purple hull / black-eyed,Fabaceae,Vigna unguiculata,annual,N,60,75,seed,4,1.0,7,10,70,95,full,0.5,1.05,0.9,20,30,30,10,direct,0,0,Y,approx,FAO-56 Table 12/11 (Allen et al. 1998) (bean values); UGA Extension B577 / seed-company germination charts,Thrives in Texas heat
Okra,Clemson Spineless,Malvaceae,Abelmoschus esculentus,annual,N,55,60,seed,12,0.75,7,14,75,95,full,0.5,1.0,0.9,20,30,40,20,direct,0,0,Y,approx,UGA Extension B577 / seed-company germination charts; Kc not in FAO-56 (estimate),Thrives through the summer heat gap
Sweet corn,Silver Queen,Poaceae,Zea mays,annual,N,85,95,seed,10,1.0,5,10,60,95,full,0.3,1.15,1.05,20,25,25,10,direct,0,0,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Plant in blocks for pollination
Cabbage,Early Jersey Wakefield,Brassicaceae,Brassica oleracea,annual,N,60,75,transplant,15,0.25,5,10,45,85,full,0.7,1.05,0.95,25,30,35,10,indoor,6,7,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Broccoli,Packman,Brassicaceae,Brassica oleracea,annual,N,55,65,transplant,15,0.25,5,10,45,85,full,0.7,1.05,0.95,25,30,35,10,indoor,6,7,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Cauliflower,Snow Crown,Brassicaceae,Brassica oleracea,annual,N,55,70,transplant,18,0.25,5,10,45,85,full,0.7,1.05,0.95,25,30,35,10,indoor,6,7,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Lettuce,Leaf,Asteraceae,Lactuca sativa,annual,N,30,50,seed,8,0.125,4,10,40,80,partial,0.7,1.0,0.95,20,30,15,10,direct,0,0,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Bolts in heat
Lettuce,Head,Asteraceae,Lactuca sativa,annual,N,60,85,seed,12,0.125,4,10,40,80,partial,0.7,1.0,0.95,20,30,15,10,indoor,4,5,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Bolts in heat
Spinach,Bloomsdale,Amaranthaceae,Spinacia oleracea,annual,N,40,50,seed,4,0.5,6,14,45,75,partial,0.7,1.0,0.95,20,20,20,5,direct,0,0,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,
Onion,1015Y Texas SuperSweet,Amaryllidaceae,Allium cepa,annual,N,100,120,transplant,4,1.0,7,14,50,95,full,0.7,1.05,0.75,15,25,70,40,transplant,0,0,N,generic,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,Short-day onion; planted as sets/plants
Garlic,Softneck,Amaryllidaceae,Allium sativum,annual,N,180,240,seed,6,2.0,7,14,45,85,full,0.7,1.0,0.7,30,60,90,60,direct,0,0,N,approx,FAO-56 Table 12/11 (Allen et al. 1998); UGA Extension B577 / seed-company germination charts,"Fall planted, spring harvested; cloves not seed"
